Generation,Max Fitness,Avg Fitness,Best Individual
0,0.32,0.24533333333333343,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
1,0.42,0.268,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
2,0.42,0.2813333333333334,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
3,0.42,0.28933333333333344,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
4,0.42,0.2920000000000001,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
5,0.42,0.3040000000000001,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
6,0.42,0.3040000000000001,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
7,0.42,0.3080000000000001,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
8,0.42,0.31466666666666676,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
9,0.42,0.3173333333333334,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
