Generation,Max Fitness,Avg Fitness,Best Individual
0,0.32,0.24266666666666672,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
1,0.32,0.25200000000000006,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
2,0.32,0.2693333333333335,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
3,0.32,0.2786666666666668,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
4,0.32,0.2853333333333334,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
5,0.32,0.2893333333333334,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
6,0.32,0.2986666666666667,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
7,0.32,0.30133333333333334,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
8,0.32,0.3026666666666667,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
9,0.32,0.30666666666666664,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
10,0.32,0.30933333333333324,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
11,0.32,0.3106666666666666,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
12,0.32,0.31199999999999994,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
13,0.32,0.3146666666666666,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
14,0.32,0.3146666666666666,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
15,0.32,0.3146666666666666,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
16,0.34,0.31733333333333325,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
17,0.34,0.32,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
18,0.34,0.32133333333333336,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
19,0.34,0.32266666666666666,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
20,0.34,0.324,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
21,0.34,0.3253333333333333,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
22,0.34,0.3253333333333333,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
23,0.34,0.3266666666666666,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
24,0.34,0.328,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
25,0.34,0.3293333333333333,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
26,0.34,0.33066666666666666,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
27,0.34,0.332,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
28,0.34,0.3333333333333333,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
29,0.34,0.3346666666666667,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
30,0.34,0.3373333333333333,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
31,0.34,0.3386666666666666,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
32,0.34,0.3399999999999999,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
33,0.34,0.3399999999999999,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
34,0.34,0.3399999999999999,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
35,0.34,0.3399999999999999,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
36,0.34,0.3399999999999999,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
37,0.34,0.3399999999999999,"[0.00012751987153353234, 0.0002449887973994651, 0.000674377084401885, 0.5941602556377918, 0.0001512460497916589, 0.0007198385898624875, 0.0707666391743451, 0.07712021645012959, 0.18166031445415645, 0.07437460389058798]"
