Generation,Max Fitness,Avg Fitness,Best Individual
0,0.37,0.2746666666666667,"[0.00022285760844731323, 0.0003327897119803706, 0.0005453873766738019, 0.5223629082163013, 0.000300413055899125, 1.3103001760782432e-05, 5.2423945202198055e-05, 3.872819597906598e-05, 0.47575448339564264, 0.00037690549211348887]"
1,0.38,0.30133333333333334,"[0.0005654805694615375, 0.0006326156223317567, 0.0007061690463574692, 0.0002932737773380318, 0.8459688516342939, 0.00015531223933856124, 0.15100140842161514, 6.005037905498448e-05, 7.615674631296779e-05, 0.0005406815638956542]"
2,0.38,0.32266666666666666,"[0.0005654805694615375, 0.0006326156223317567, 0.0007061690463574692, 0.0002932737773380318, 0.8459688516342939, 0.00015531223933856124, 0.15100140842161514, 6.005037905498448e-05, 7.615674631296779e-05, 0.0005406815638956542]"
3,0.38,0.34133333333333327,"[0.0005654805694615375, 0.0006326156223317567, 0.0007061690463574692, 0.0002932737773380318, 0.8459688516342939, 0.00015531223933856124, 0.15100140842161514, 6.005037905498448e-05, 7.615674631296779e-05, 0.0005406815638956542]"
4,0.4,0.35533333333333333,"[0.0005655267154991585, 0.0006326672469248627, 0.00070622667327719, 0.15131521622717597, 0.8460378869160736, 1.3104071031142646e-05, 5.242822325785228e-05, 6.005527946571595e-05, 7.61629610836783e-05, 0.0005407256862106125]"
5,0.4,0.36599999999999994,"[0.0005655267154991585, 0.0006326672469248627, 0.00070622667327719, 0.15131521622717597, 0.8460378869160736, 1.3104071031142646e-05, 5.242822325785228e-05, 6.005527946571595e-05, 7.61629610836783e-05, 0.0005407256862106125]"
6,0.4,0.3693333333333333,"[0.0005655267154991585, 0.0006326672469248627, 0.00070622667327719, 0.15131521622717597, 0.8460378869160736, 1.3104071031142646e-05, 5.242822325785228e-05, 6.005527946571595e-05, 7.61629610836783e-05, 0.0005407256862106125]"
7,0.41,0.378,"[0.0005182692258718598, 0.0005797992478725211, 0.0006472117783619944, 0.1386707609515368, 0.7753398534377638, 0.08312725816303883, 4.804712834423923e-05, 5.503236039717325e-05, 0.0005182270451234229, 0.0004955406616892554]"
8,0.42,0.3866666666666667,"[0.0004926063324992952, 0.0005510896013550863, 0.0006151640972950149, 0.13180426613659757, 0.736947714771223, 0.12895765010670152, 4.18518153645278e-05, 5.2311606426435185e-05, 6.634232460371387e-05, 0.0004710032079338095]"
9,0.43,0.3926666666666667,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
