Generation,Max Fitness,Avg Fitness,Best Individual
0,0.36,0.29333333333333333,"[0.027843469696644446, 0.0546611229149532, 0.08583138473255453, 0.1630659983827813, 0.1969140031546522, 0.1768226561983136, 0.12054926393917198, 0.035963487184506676, 0.12278216895601261, 0.015566444840409385]"
1,0.36,0.2973333333333334,"[0.027843469696644446, 0.0546611229149532, 0.08583138473255453, 0.1630659983827813, 0.1969140031546522, 0.1768226561983136, 0.12054926393917198, 0.035963487184506676, 0.12278216895601261, 0.015566444840409385]"
2,0.36,0.29800000000000004,"[0.027843469696644446, 0.0546611229149532, 0.08583138473255453, 0.1630659983827813, 0.1969140031546522, 0.1768226561983136, 0.12054926393917198, 0.035963487184506676, 0.12278216895601261, 0.015566444840409385]"
3,0.36,0.30066666666666664,"[0.027843469696644446, 0.0546611229149532, 0.08583138473255453, 0.1630659983827813, 0.1969140031546522, 0.1768226561983136, 0.12054926393917198, 0.035963487184506676, 0.12278216895601261, 0.015566444840409385]"
4,0.36,0.30666666666666664,"[0.027843469696644446, 0.0546611229149532, 0.08583138473255453, 0.1630659983827813, 0.1969140031546522, 0.1768226561983136, 0.12054926393917198, 0.035963487184506676, 0.12278216895601261, 0.015566444840409385]"
5,0.36,0.31333333333333335,"[0.027843469696644446, 0.0546611229149532, 0.08583138473255453, 0.1630659983827813, 0.1969140031546522, 0.1768226561983136, 0.12054926393917198, 0.035963487184506676, 0.12278216895601261, 0.015566444840409385]"
6,0.36,0.31799999999999995,"[0.027843469696644446, 0.0546611229149532, 0.08583138473255453, 0.1630659983827813, 0.1969140031546522, 0.1768226561983136, 0.12054926393917198, 0.035963487184506676, 0.12278216895601261, 0.015566444840409385]"
7,0.36,0.32066666666666666,"[0.027843469696644446, 0.0546611229149532, 0.08583138473255453, 0.1630659983827813, 0.1969140031546522, 0.1768226561983136, 0.12054926393917198, 0.035963487184506676, 0.12278216895601261, 0.015566444840409385]"
8,0.36,0.32533333333333325,"[0.027843469696644446, 0.0546611229149532, 0.08583138473255453, 0.1630659983827813, 0.1969140031546522, 0.1768226561983136, 0.12054926393917198, 0.035963487184506676, 0.12278216895601261, 0.015566444840409385]"
9,0.36,0.3286666666666666,"[0.027843469696644446, 0.0546611229149532, 0.08583138473255453, 0.1630659983827813, 0.1969140031546522, 0.1768226561983136, 0.12054926393917198, 0.035963487184506676, 0.12278216895601261, 0.015566444840409385]"
10,0.36,0.3346666666666667,"[0.027843469696644446, 0.0546611229149532, 0.08583138473255453, 0.1630659983827813, 0.1969140031546522, 0.1768226561983136, 0.12054926393917198, 0.035963487184506676, 0.12278216895601261, 0.015566444840409385]"
11,0.36,0.3353333333333334,"[0.027843469696644446, 0.0546611229149532, 0.08583138473255453, 0.1630659983827813, 0.1969140031546522, 0.1768226561983136, 0.12054926393917198, 0.035963487184506676, 0.12278216895601261, 0.015566444840409385]"
12,0.36,0.3393333333333334,"[0.027843469696644446, 0.0546611229149532, 0.08583138473255453, 0.1630659983827813, 0.1969140031546522, 0.1768226561983136, 0.12054926393917198, 0.035963487184506676, 0.12278216895601261, 0.015566444840409385]"
13,0.36,0.342,"[0.027843469696644446, 0.0546611229149532, 0.08583138473255453, 0.1630659983827813, 0.1969140031546522, 0.1768226561983136, 0.12054926393917198, 0.035963487184506676, 0.12278216895601261, 0.015566444840409385]"
14,0.36,0.3433333333333334,"[0.027843469696644446, 0.0546611229149532, 0.08583138473255453, 0.1630659983827813, 0.1969140031546522, 0.1768226561983136, 0.12054926393917198, 0.035963487184506676, 0.12278216895601261, 0.015566444840409385]"
15,0.36,0.3473333333333334,"[0.027843469696644446, 0.0546611229149532, 0.08583138473255453, 0.1630659983827813, 0.1969140031546522, 0.1768226561983136, 0.12054926393917198, 0.035963487184506676, 0.12278216895601261, 0.015566444840409385]"
16,0.36,0.3473333333333334,"[0.027843469696644446, 0.0546611229149532, 0.08583138473255453, 0.1630659983827813, 0.1969140031546522, 0.1768226561983136, 0.12054926393917198, 0.035963487184506676, 0.12278216895601261, 0.015566444840409385]"
17,0.37,0.3506666666666666,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
18,0.37,0.35266666666666663,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
